"sci_name","comm_name","year","catch_mt","value_usd","name_label"
"Lutjanus analis","Mutton snapper",2009,233.5887855115,650350.655368599,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2010,221.4635577099,569668.051934326,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2011,208.3507142087,622095.397012394,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2012,195.0375304165,388376.365663922,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2013,181.5653876238,614906.126357078,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2014,167.9788348857,600653.508424583,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2015,154.4073125222,553036.779578863,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2016,140.6522785151,592403.976250583,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2017,127.0156876519,506923.785694377,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2018,113.4710162873,178919.331624523,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2019,99.1493508828,163686.151583684,"Mutton snapper
(Lutjanus analis)"
"Lutjanus apodus","Schoolmaster snapper",2001,3.1988532438,1830.84391300437,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2002,6.2857415124,3604.78851957394,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2003,9.0695933205,5478.55720317522,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2004,11.5853830688,8005.81675768994,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2005,13.9259290446,10911.4068584696,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2006,15.9943961982,14559.082753547,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2007,17.7746207809,14282.0029289773,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2008,18.5633883698,19396.1604797143,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2009,20.7191921995,19677.03522839,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2010,23.052078329,23676.4146865798,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2011,25.2753317993,40705.9257805258,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2012,27.4441816833,45185.0732903183,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2013,29.5468155876,58641.626235765,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2014,31.5708163182,65762.172759658,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2015,33.5208966631,76545.8883828561,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2016,35.3291115431,92923.2488179391,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2017,37.0346775155,110734.231699577,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2018,38.6038843983,101705.275887309,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2019,39.6486160162,104457.711790938,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus griseus","Grey snapper",1950,30.4213555784,34537.4844832995,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1951,30.9804138379,35825.381678335,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1952,31.5212544672,40643.2789353047,"Grey snapper
(Lutjanus griseus)"
