"sci_name","comm_name","year","gear_type","catch_mt","value_usd","name_label"
"Lutjanus griseus","Grey snapper",1955,"subsistence fishing gear",16.7552652379,22823.2638800407,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1956,"small scale pole lines",18.0685746196,24709.3857513309,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1956,"subsistence fishing gear",16.8933352106,23102.206185688,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1957,"small scale pole lines",16.9366713972,21050.957811152,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1957,"subsistence fishing gear",17.0155217662,21148.9626522909,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1958,"small scale pole lines",18.7213722537,21364.5288078404,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1958,"subsistence fishing gear",17.1218249047,19539.1511082103,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1959,"small scale pole lines",17.5848006054,20234.0899650973,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1959,"subsistence fishing gear",17.2122446262,19805.4054796041,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1960,"small scale pole lines",17.9053638899,18588.7565885379,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1960,"subsistence fishing gear",17.2867809306,17946.5642191484,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1961,"small scale pole lines",17.4938583886,19826.5489976819,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1961,"subsistence fishing gear",17.4721744409,19801.9736386896,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1962,"small scale pole lines",18.5672109366,21657.0362102561,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1962,"subsistence fishing gear",17.6124346547,20543.3727428381,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1963,"small scale pole lines",18.9083192247,22831.8332805024,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1963,"subsistence fishing gear",17.7332977596,21412.992511362,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1964,"small scale pole lines",19.2469178258,24445.760540437,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1964,"subsistence fishing gear",17.8347637559,22652.1652982847,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1965,"small scale pole lines",19.5830067397,25208.2254257509,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1965,"subsistence fishing gear",17.9168326434,23063.4428202168,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1966,"small scale pole lines",19.9605087486,27357.3343570717,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1966,"subsistence fishing gear",17.9411334835,24589.6331419174,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1967,"small scale pole lines",20.3352194957,28869.0977092975,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1967,"subsistence fishing gear",17.94701277,25478.6561490048,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1968,"small scale pole lines",22.1666081271,31351.6968703458,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1968,"subsistence fishing gear",17.9344705027,25365.9053070331,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1969,"small scale pole lines",21.0762672049,33046.4067063802,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1969,"subsistence fishing gear",17.9035066818,28071.6958806305,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1970,"small scale pole lines",21.442604167,31834.2905392674,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1970,"subsistence fishing gear",17.8541213071,26506.7284079588,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1971,"small scale pole lines",21.482948068,35248.1255596017,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1971,"subsistence fishing gear",17.8438760298,29277.3217520303,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1972,"small scale pole lines",20.0667859228,37947.2553857682,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1972,"subsistence fishing gear",17.8161136505,33691.1260864617,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1973,"small scale pole lines",20.1057586777,38683.8818110589,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1973,"subsistence fishing gear",17.7708341691,34191.4403579643,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1974,"small scale pole lines",21.0452680572,40510.7941128782,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1974,"subsistence fishing gear",17.7080375856,34086.8390379579,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1975,"small scale pole lines",21.5207104098,39547.1891530861,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1975,"subsistence fishing gear",17.6277239002,32393.3047815983,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1976,"small scale pole lines",22.9733115171,35276.5076868432,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1976,"subsistence fishing gear",17.5298931127,26917.9046599535,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1977,"small scale pole lines",25.5095267757,50731.0765035578,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1977,"subsistence fishing gear",17.4145452232,34632.4976453292,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1978,"small scale pole lines",24.6114406675,45302.7464540928,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1978,"subsistence fishing gear",17.2816802316,31810.7171542684,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1979,"small scale pole lines",23.4980411707,50863.9774084428,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1979,"subsistence fishing gear",17.131298138,37082.4936060724,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1980,"small scale pole lines",24.4336517398,54066.8090034124,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1980,"subsistence fishing gear",16.9633989424,37536.6261431583,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1981,"small scale pole lines",23.6712730342,57876.3572537322,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1981,"subsistence fishing gear",17.0763839246,41751.8270012318,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1982,"small scale pole lines",24.7320510412,55793.5533170257,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1982,"subsistence fishing gear",17.156556632,38703.8363937355,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1983,"small scale pole lines",26.1135910518,59005.0952290762,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1983,"subsistence fishing gear",17.2039170644,38873.1968225353,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1984,"small scale pole lines",24.0277121209,67643.9925205437,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1984,"subsistence fishing gear",17.218465222,48474.2669978902,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1985,"small scale pole lines",24.1405885798,75220.673860464,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1985,"subsistence fishing gear",17.2002011048,53594.8290308254,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1986,"small scale pole lines",25.411275523,77675.3319955852,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1986,"subsistence fishing gear",17.1491247126,52420.1925355092,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1987,"small scale pole lines",26.0368992997,88763.7733579717,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1987,"subsistence fishing gear",17.0652360456,58178.0006607099,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1988,"small scale pole lines",25.6203984508,88514.0186981812,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1988,"subsistence fishing gear",16.9485351038,58554.2397384194,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1989,"small scale pole lines",24.5373716539,79161.020724652,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1989,"subsistence fishing gear",16.799021887,54196.0132696439,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1990,"small scale pole lines",24.5370356057,73486.9739539617,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1990,"subsistence fishing gear",16.6166963954,49766.0253191944,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1991,"small scale pole lines",24.8298299135,75323.8961746895,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1991,"subsistence fishing gear",15.4272241789,46800.1044051646,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1992,"small scale pole lines",23.3214744093,62433.6159619656,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1992,"subsistence fishing gear",15.9369793505,42664.6802385469,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1993,"small scale pole lines",22.5529047709,59276.1153498456,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1993,"subsistence fishing gear",15.6938855336,41248.4590622561,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1994,"small scale pole lines",21.3111413013,57320.7472471943,"Grey snapper
(Lutjanus griseus)"
